妞妞,和尚藍鸚鵡,鳥,公,小型,藍色,成年,2022-08-03,台南市 安南區,https://wepet.tw/storage/lost/lost_220803172442578212206_5964818682.jpg
puppy,不確定 但應該是台灣土狗,狗,公,中型,黑色,成年,2022-08-02,桃園市 觀音區,https://wepet.tw/storage/lost/lost_220802215557382012205_4874148557.jpg
咖啡,混貴賓,狗,公,小型,米黃色,老年,2022-07-30,台中市 大肚區,https://wepet.tw/storage/lost/lost_220802081056474312204_3719299056.jpg
阿虎,米克思,貓,公,大型,咖啡混白色,成年,2022-07-30,台北市 北投區,https://wepet.tw/storage/lost/lost_220801063021787012200_6311906622.jpg
小花,米克斯,狗,母,中型,黃色混黑色,成年,2022-07-30,台中市 北屯區,https://wepet.tw/storage/lost/lost_220731164506571712196_2850457106.jpg
小藍,和尚鸚鵡,鳥,公,中型,藍灰色,成年,2022-07-26,新北市 汐止區,https://wepet.tw/storage/lost/lost_220726180346899912181_461429826.jpg
泡芙,米克斯,狗,母,中型,虎斑,幼年,2022-07-23,新竹市 香山區,https://wepet.tw/storage/lost/lost_220723211000787512172_2898881800.jpg
皮皮,瑪爾濟斯,狗,公,小型,白色,成年,2022-07-23,台中市 潭子區,https://wepet.tw/storage/lost/lost_220723192950923612171_5014075790.jpg
波波,和尚鸚鵡,鳥,無,小型,藍色,成年,2022-07-20,台南市 新營區,https://wepet.tw/storage/lost/lost_220720212738242212163_125823658.jpg
阿吉,米克斯混金吉拉,貓,母,中型,身體是白色黑色 前腳有白襪,成年,2022-07-20,桃園市 龍潭區,https://wepet.tw/storage/lost/lost_220720152303534312160_4674301783.jpg
雞米花,米克斯,貓,公,小型,橘色虎斑貓,成年,2022-07-15,台中市 龍井區,https://wepet.tw/storage/lost/lost_220719112354461312156_3051301034.jpg
小幼貓,虎斑,貓,公,小型,虎斑貓,成年,2022-07-12,屏東縣 長治鄉,https://wepet.tw/storage/lost/lost_220714140737501712144_9996278857.jpg
寶寶,橘貓,貓,公,中型,橘色白圍巾白襪子,成年,2022-07-11,新竹縣 新埔鎮,https://wepet.tw/storage/lost/lost_220714071023444412143_2761653823.jpg
小幼貓,虎斑貓,貓,公,小型,虎斑,成年,2022-07-12,屏東縣 長治鄉,https://wepet.tw/storage/lost/lost_220713202242163812141_4970614962.jpg
韓吉,米克斯,狗,母,中型,全身黑的很漂亮,幼年,2022-07-11,桃園市 中壢區,https://wepet.tw/storage/lost/lost_220713003430532412139_2118943671.jpg
Kiki,英國短毛,貓,母,小型,橘色白色,成年,2022-07-09,花蓮縣 豐濱鄉,https://wepet.tw/storage/lost/lost_220711173857468012130_3152832337.jpg
三寶,Mix,貓,公,小型,短毛賓士貓,成年,2022-07-11,桃園市 楊梅區,https://wepet.tw/storage/lost/lost_220711155317395712127_8396325997.jpg
酒酒,矇眼雪貂,其他,公,小型,像浣熊一樣有戴眼罩/脖子有一撮白毛,幼年,2022-06-24,新北市 中和區,https://wepet.tw/storage/lost/lost_220711021118615212125_688876678.jpg
小黑,米克斯,狗,公,中型,黑色混棕色,成年,2022-06-28,台中市 大雅區,https://wepet.tw/storage/lost/lost_220708042234806512115_8210925354.jpg
圓圓,米克斯,貓,公,小型,黑白色,成年,2022-06-02,嘉義縣 民雄鄉,https://wepet.tw/storage/lost/lost_220702152907126512100_2620946947.jpg
屋瑪,柴犬,狗,公,中型,柴色,成年,2022-06-29,彰化縣 社頭鄉,https://wepet.tw/storage/lost/lost_220629232227497212093_3541816147.jpg
雞蛋糕,橘貓,貓,公,小型,橘色,成年,2022-06-27,台北市 南港區,https://wepet.tw/storage/lost/lost_220629203611942112092_8993006171.jpg
姆姆,米克斯（黑土狗）,狗,公,中型,黑色帶點咖啡色,老年,2022-06-25,雲林縣 斗六市,https://wepet.tw/storage/lost/lost_220628155331481812082_3048902811.jpg
嘟嘟,米克斯,狗,公,中型,黃色，胸口白,成年,2022-06-26,高雄市 三民區,https://wepet.tw/storage/lost/lost_220627180629943312076_4426324389.jpg
酒酒,矇眼雪貂,其他,公,小型,像浣熊一樣眼睛有戴眼罩,成年,2022-06-27,新北市 中和區,https://wepet.tw/storage/lost/lost_220627105015110412074_4728598215.jpg
莉莉安,貓,貓,母,中型,黑色,幼年,2022-06-19,台中市 西屯區,https://wepet.tw/storage/lost/lost_220624235859968712071_3022886339.jpg
兔寶,兔子,兔,公,小型,全白 耳朵是咖啡色 眼線一圈也是咖啡色鼻,成年,2022-06-19,桃園市 中壢區,https://wepet.tw/storage/lost/lost_220620224745817912054_6990536465.jpg
弟弟,波斯頓梗犬,狗,公,小型,黑色混白色,老年,2022-06-19,彰化縣 彰化市,https://wepet.tw/storage/lost/lost_220619174127318912046_5746431687.jpg
咘咘,鬆獅,狗,公,中型,棕色,成年,2022-06-18,宜蘭縣 羅東鎮,https://wepet.tw/storage/lost/lost_220618184622420612044_3943349183.jpg
Lulu,臘腸,狗,母,小型,紅棕色,成年,2022-06-12,彰化縣 社頭鄉,https://wepet.tw/storage/lost/lost_220618114430395612043_5186123870.jpg
小白,白狗,狗,公,中型,全白色,成年,2022-04-22,彰化縣 線西鄉,https://wepet.tw/storage/lost/lost_220618110247748712042_2326321367.jpg
姆姆,虎皮鸚鵡,鳥,母,小型,黃綠色,成年,2022-06-16,台南市 仁德區,https://wepet.tw/storage/lost/lost_220616112318878612030_2232949798.jpg
LuLu,柴犬,狗,母,中型,白色,幼年,2022-06-15,雲林縣 土庫鎮,https://wepet.tw/storage/lost/lost_220616110211588012029_877448531.jpg
